modern;traditional
опека;опе́ка, опе́кой, въ опе́кѣ
опекать;опека́ть, опека́емый, опека́емаго
опекун;опеку́нъ, объ опекунѣ́
опенить;опѣ́нить (покры́ть пѣ́ной)
опёнок;опёнокъ, опёнки и опя́та
опера;о́пера, въ о́перѣ
оперативное;операти́вное, операти́вный, операти́внаго
оперативные;операти́вные (м. р.), операти́вныя (ж. р. и ср. р.)
оператор;опера́торъ, объ опера́торѣ
операционная;операціо́нная
операция;опера́ція, опера́ціей
опередить;опередить, опереди́лъ, опереди́шь, опереди́те
опережать;опережа́ть, опережа́етъ, опережа́ете, опережу́
опережение;опереже́ніе
опережённый;опережённый
оперение;опере́ніе, опере́нье
оперённый;оперённый
оперетка;опере́тка, въ опере́ткѣ
опереточные;опере́точные (м. р.), опере́точныя (ж. р. и ср. р.)
опереточный;опере́точный, опере́точное, опере́точнаго
оперетта;опере́тта, въ опере́ттѣ
опереться;опере́ться
оперившийся;опе́рившійся
оперировать;опери́ровать
опёрлись;опёрлись
оперный;о́перный, о́пернаго, о́перные (м. р.), о́перныя (ж. р. и ср. р.)
опёрся;опёрся
оперяться;оперя́ться
опечаленный;опеча́ленный
опечатанный;опеча́танный
опечатка;опеча́тка, при опеча́ткѣ
опешить;опѣ́шить, опѣ́шать
опиат;опіа́тъ
опий;о́пій, о́пія, о́піемъ
опиленный;опи́ленный
опирается;опира́ется
опирание;опира́ніе
описание;описа́ніе
описывает;опи́сываетъ, опи́сываете
опиум;о́піумъ, о́пій
опишем;опи́шемъ, опи́шешь
оплавленный;опла́вленный
оплата;опла́та, въ опла́тѣ
оплатить;оплати́ть, оплати́те
оплаченный;опла́ченный
оплёванный;оплёванный
оплёл;оплёлъ
оплёсканный;оплёсканный
оплесневелый;оплѣсневѣ́лый
оплеснелый;оплѣ́снѣлый
оплеснуть;оплесну́ть
оплетать;оплета́ть
оплетённый;оплетённый
оплётка;оплётка, въ оплёткѣ
оплеуха;оплеу́ха
оплечье;опле́чье (часть оде́жды и́ли доспѣ́ховъ, покрыва́ющая пле́чи)
оплешивевший;оплѣши́вѣвшій
оплешивелый;оплѣши́вѣлый
оплешиветь;оплѣши́вѣть, оплѣши́вѣю, оплѣши́вѣетъ
оплодотворённый;оплодотворённый
оплывёшь;оплывёшь
оплюёшь;оплюёшь
оповестить;оповѣсти́ть
оповещение;оповѣще́ніе
оповещённый;оповѣщённый
опоганенный;опога́ненный
оподельдок;оподельдо́къ (мазь отъ ревмати́зма)
опоенный;опо́енный
опоённый;опоённый
опоздание;опозда́ніе
опознать;опозна́ть, опозна́ніе
опознаётся;опознаётся, опозна́ется
опозоренный;опозо́ренный
оползень;о́ползень, о́ползнемъ
оползёшь;оползёшь
ополоснёшь;ополоснёшь
ополченец;ополче́нецъ, ополче́нцемъ, объ ополче́нцѣ
ополчение;ополче́ніе
ополье;опо́лье (широ́кое свобо́дное отъ лѣ́са простра́нство съ плодоро́дной по́чвой, удо́бной для хлѣбопа́шества)
опорожненный;опоро́жненный
опорожнённый;опорожнённый
опорос;опоро́съ, при опоро́сѣ
опороченный;опоро́ченный
опорошенный;опоро́шенный
опосля;опосля́ (по́слѣ) — уcтap.
опоссум;опо́ссумъ
опостылевшего;опосты́лѣвшаго
опостылевшее;опосты́лѣвшее
опостылевшие;опосты́лѣвшіе (м. р.), опосты́лѣвшія (ж. р. и ср. р.)
опостылевший;опосты́лѣвшій, опосты́лѣвшаго
опостылел;опосты́лѣлъ, опосты́лѣла, опосты́лѣли, опосты́лѣло
